,movieCd,movieNm,movieNmEn,openDt,repNationNm,genreCd,companys,watchCd,url,runtime
7056,19800032,평양맨발,The Barefoot In Pyongyang,19800517,한국,0,대양필름(주),12,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111212_236%2F1323674428089I5Ej3_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,84.0
7057,20040760,6월의 뱀,A Snake of June,20041210,일본,13,카이쥬 씨어터,19,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111223_287%2F1324578894507C1NAX_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,77.0
7058,20050094,소녀 검객 아즈미 대혈전 2,Azumi 2: Death Or Love,20050429,일본,0,토쿄 브로드캐스팅 시스팀,15,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111221_183%2F1324447022488YyYRr_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,112.0
7059,19870041,후궁한,Spite of a Concubine,19870710,한국,5,경인필름,19,,91.0
7060,19850059,홍도경,Hong-Do Mirror,19850914,한국,5,국제,19,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111212_298%2F1323674674286PvIzW_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,90.0
7061,20081570,중경,Chongqing,20081106,한국,5,(주)스폰지이엔티,19,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_190%2F1324520485891D58j2_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,95.0
7062,19990151,페이백,Payback,19990327,미국,5,아이콘엔터테인먼트인터내셔널,19,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_184%2F132453846593993bfw_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,101.0
7063,19950047,헬로우 변강쇠,Hello Byun Gang-Swe,19960504,한국,19,(주)지맥엔터프라이즈,19,,85.0
7064,19950030,애마와 변강쇠,Emma And Byun Gang-Swe,19950408,한국,19,(주)세운미디어,19,,87.0
7065,19580070,마음의 진주,The Pearl Of Heart,19580308,한국,1,삼화영화사,all,,
