,movie,sentence,score,movieCd,movieNm
4654,인생은 아름다워,제 개인적으론  라라랜드나 맘마미아보다  백백   감동적이고  재밌게  보았습니다. 같은영화를   여러번 보는건  이 영화가 처음입니다. 앞으로  친구들과  세번 더 볼예정^^인생 영화가 되었네요.,10,19990140,인생은 아름다워
4655,리멤버,좋은 영화같은데 재밌는 영화는 아님,7,20198461,리멤버
4656,자백,기대없이 봤어서 그런지 긴장하며 재밌게 봤습니다,10,20198429,자백
4657,자백,기대없이 봤어서 그런지 긴장하며 재밌게 봤습니다,10,20163041,자백
4658,리멤버,박근형 배우님의 대사를 리뷰에 동일하게 쓴게 몇몇 보이네요 이래서 청산을 곧바로 했어야 하는 아쉬움뿐,9,20198461,리멤버
4659,리멤버,매 복수가 지리더라 진심,10,20198461,리멤버
4662,꾼,많이 본듯한 예측 뻔한 사골 스토리,4,20165748,꾼
4664,자백,아직도 한국영화를 수천억헐리수천억과 같은 관람료를 주고 보는구나. 그돈으로 치킨이나 사먹으렴 얘들아,1,20198429,자백
4665,자백,아직도 한국영화를 수천억헐리수천억과 같은 관람료를 주고 보는구나. 그돈으로 치킨이나 사먹으렴 얘들아,1,20163041,자백
4666,서치 아웃,이시언씨.. 주인공 시켜준다해도 이런 거 찍는 거 아니예요. ㅠㅠ 담부터 그러지 마요..  감상포인트 없는데 강제로 선택하게 하네. 꼽아주자면 마지막 10분간 범인의 연기?가 가히 충격적. 영화를 엄청나게 깎아먹음.,2,20206190,서치 아웃
4667,한산: 용의 출현,오래 기다긴 후속 영화 정말 괜찮은 영화였습니다,10,20209343,한산: 용의 출현
4671,비상선언,최고의 배우들로.. 신파를,6,20196410,비상선언
4672,헌트,반전이라고 해야할지 예상했다고 해야할지,10,20211792,헌트
4675,공조2: 인터내셔날,부모님과 추석때 봤는데 정말 재밌었습니다,10,20215601,공조2: 인터내셔날
4676,육사오(6/45),부모님이랑 보기에 정말 재밌었어요,10,20217826,육사오(6/45)
4677,자백,초반 10분쯤 놀래서 팝콘 쏟을 뻔 했다..,10,20198429,자백
4678,자백,초반 10분쯤 놀래서 팝콘 쏟을 뻔 했다..,10,20163041,자백
4679,카사블랑카,올해가 80주년인게 믿어지지 않을 정로도 세련된 작품이네요. 흡입력 있어서 엄청 몰입해서 봤어요. 험프리 보가트의 릭 캐릭터가 너무 좋았고 그래서 아직도 여운이 남네요 ㅠㅠ,9,19420001,카사블랑카
4680,리멤버,"배우들 진짜 열연하신게 눈에 보이는 영화..재미, 감동, 긴장감 느껴볼 수 있어요 완전 강추!!",10,20198461,리멤버
4681,정직한 후보2,오바된 코미디는 그렇지 못한것보다 못하다,4,20219628,정직한 후보2
4684,리멤버,그냥 그 시대를 살았다고? 올바른 선택을 한 사람들도 있었다,10,20198461,리멤버
4685,자백,영화의 반전이 쉽게 예측된다는 점이 흠.,6,20198429,자백
4686,자백,영화의 반전이 쉽게 예측된다는 점이 흠.,6,20163041,자백
4688,리멤버,메시지가 좋은데 재밌기까지 한다면 정말 영화의 역할은 다한게 아닐까요?남주혁배우는 얼굴도 잘생겼는데 각본도 잘고르네요,10,20198461,리멤버
4689,리멤버,이건 아니지,1,20198461,리멤버
4690,자백,비슷한 헐리우드 영화가 있는것 같은데,7,20198429,자백
4691,자백,비슷한 헐리우드 영화가 있는것 같은데,7,20163041,자백
4692,인생은 아름다워,나하고는 안 맞는지 너무 지루했음 아마 남편 캐릭터가 몰입을 방해한 것 같음 그래도 친구랑 자식 이야기는 슬펐음,2,19990140,인생은 아름다워
4696,우리들,11살 여자아이들의 인생 최대고민을 담백하면서 밀도높게 잘 그려냈네요. 한번은 겪고 넘어갈 소녀들의 미묘하고 불완전한 감정변화들을 개연성있게 잘 풀어내서 좋았습니다. 여름날의 예쁜 영상들과 아이들의 연기력도 좋네요~단순함속에 복잡함이 표현된 수작입니다.딸아이를 둔 부모라면 한번씩 다들 꼭 보았으면 합니다^^ 아이들만의 세상에 빠져보면서 그들을 응원하는 계기가 되네요.,10,20153450,우리들
