,peopleCd,peopleNm,repRoleNm,filmoNames,movieCd
43718,20135180,김혁,감독,R2B: 리턴투베이스,20124049
43719,10003972,김동원,감독,R2B: 리턴투베이스,20124049
43720,20131894,김형주,감독,R2B: 리턴투베이스,20124049
43721,10072715,최종구,감독,R2B: 리턴투베이스,20124049
43735,20125818,김익로,감독,5백만불의 사나이,20124058
43759,10005544,김정구,감독,결정적 한방,20113312
43760,10029288,박중구,감독,결정적 한방,20113312
43768,10054336,윤성현,감독,파수꾼,20101344
43769,10028506,박기용,감독,파수꾼,20101344
43770,10060625,장현수,감독,파수꾼,20101344
43785,20230641,손다겸,감독,살인의 강,20100981
43786,20151358,김태훈,감독,살인의 강,20100981
43787,20167301,김대현,감독,살인의 강,20100981
43807,20150573,박광호,감독,된장,20101004
43808,10060535,장진,감독,된장,20101004
43809,20206966,김용운,감독,된장,20101004
43810,20162131,김아영,감독,된장,20101004
43811,10055934,이서군,감독,된장,20101004
43812,10054560,윤태식,감독,된장,20101004
43822,10060813,이와,감독,그녀에게,20100264
43823,10004652,김성호,감독,그녀에게,20100264
43824,10057572,이지원,감독,그녀에게,20100264
43825,10083006,페드로 알모도바르,감독,그녀에게,20100264
43853,10050404,오석근,감독,집행자,20090669
43854,10065915,조성규,감독,집행자,20090669
43855,10024105,마크 로스만,감독,집행자,20090669
43856,10078519,클린트 이스트우드,감독,집행자,20090669
43857,10044745,알렉세이 미스기레프,감독,집행자,20090669
43858,10072796,최진호,감독,집행자,20090669
43859,10053472,윙스 하우저,감독,집행자,20090669
43860,10079641,테드 포스트,감독,집행자,20090669
43861,10081810,팀 스프링,감독,집행자,20090669
43876,20153480,이희섭,감독,"나의 친구, 그의 아내",20061221
43877,10004950,김영남,감독,"나의 친구, 그의 아내",20061221
43878,20151358,김태훈,감독,"나의 친구, 그의 아내",20061221
43879,20111178,신동일,감독,"나의 친구, 그의 아내",20061221
43880,20112331,박제욱,감독,"나의 친구, 그의 아내",20061221
43890,10060025,장건재,감독,저수지에서 건진 치타,20070544
43891,10047126,양해훈,감독,저수지에서 건진 치타,20070544
43912,20156933,김재민,감독,파란자전거,20070109
43913,10002469,권용국,감독,파란자전거,20070109
43934,20151358,김태훈,감독,신데렐라,20060224
43935,20283409,이철민,감독,신데렐라,20060224
43936,10031639,봉만대,감독,신데렐라,20060224
43937,10016909,로버트 이스코브,감독,신데렐라,20060224
43938,10088185,해밀튼 러스크,감독,신데렐라,20060224
43939,10053456,윌프레드 잭슨,감독,신데렐라,20060224
43940,10078238,클라이드 제로니미,감독,신데렐라,20060224
43953,20064664,이주영,감독,플라이 대디,20060191
43954,20151358,김태훈,감독,플라이 대디,20060191
43955,20140497,김지연,감독,플라이 대디,20060191
43956,10072725,최종태,감독,플라이 대디,20060191
43973,10057981,이하,감독,여교수의 은밀한 매력,20050344
43993,10029289,박중권,감독,싸움의 기술,20050346
43994,20347612,김희성,감독,싸움의 기술,20050346
43995,20151358,김태훈,감독,싸움의 기술,20050346
43996,10027781,민동현,감독,싸움의 기술,20050346
43997,10040668,신한솔,감독,싸움의 기술,20050346
43998,20128940,변승현,감독,싸움의 기술,20050346
44012,10065847,조범구,감독,양아치어조,20060176
44017,10037178,송일곤,감독,깃,20040788
44034,10003968,김동욱,감독,거미숲,20040608
44035,20347054,안도영,감독,거미숲,20040608
44036,10037178,송일곤,감독,거미숲,20040608
44037,10008255,노홍진,감독,거미숲,20040608
44051,20112388,박세영,감독,짐승,20111874
44052,10090222,황유식,감독,짐승,20111874
44057,10053930,유재완,감독,이브의 유혹 - 그녀만의 테크닉,20070490
44073,10056203,이숭환,감독,탈출,19750008
44074,20125884,홍원표,감독,탈출,19750008
44075,10001683,고영남,감독,탈출,19750008
44076,20222517,서영현,감독,탈출,19750008
44077,20222486,이한결,감독,탈출,19750008
44078,20222476,조명호,감독,탈출,19750008
44079,10051586,왕정,감독,탈출,19750008
44080,10054296,윤삼육,감독,탈출,19750008
44086,20381392,정인석,감독,사슬,20000008
44087,20381033,김산,감독,사슬,20000008
44088,10065800,조명화,감독,사슬,20000008
44111,20232188,월트 도른,감독,트롤,20161744
44112,10022687,마이크 미첼,감독,트롤,20161744
44160,20125826,김홍선,감독,변신,20184543
44161,10060684,장희철,감독,변신,20184543
44162,20110219,메흐디 알리베기,감독,변신,20184543
44163,20209848,루이스 메카디에,감독,변신,20184543
44164,20209847,프레데릭 이베느,감독,변신,20184543
44165,20113261,윤기남,감독,변신,20184543
44166,10033799,사노 도모키,감독,변신,20184543
44208,20318899,박도겸,감독,비와 당신의 이야기,20193068
44209,20112503,조진모,감독,비와 당신의 이야기,20193068
44210,20110814,박수영,감독,비와 당신의 이야기,20193068
44224,10054878,이규만,감독,커터,20152746
44225,20213086,정희성,감독,커터,20152746
44226,10058128,이현진,감독,커터,20152746
44274,20349332,강태호,감독,범털,20208261
44281,10049008,이시이 유야,감독,당신은 믿지 않겠지만,20202462
44300,10087712,한재림,감독,특종: 량첸살인기,20145504
44301,10015745,노덕,감독,특종: 량첸살인기,20145504
44320,20128390,이원석,감독,남자사용설명서,20126087
44321,10072794,최진원,감독,남자사용설명서,20126087
44344,10065271,조근식,감독,엽기적인 그녀 2,20143509
44345,10022589,마위호,감독,엽기적인 그녀 2,20143509
44380,20306550,배수민,감독,핫 블러드,20210756
44405,10066934,조정래,감독,"귀향, 끝나지 않은 이야기",20171164
44471,20342028,구예형,감독,오늘도 평화로운,20186652
44472,20120681,백승기,감독,오늘도 평화로운,20186652
44473,10001904,공자관,감독,오늘도 평화로운,20186652
44496,20223066,최우성,감독,유혹,19820056
44497,10065701,도걸,감독,유혹,19820056
44498,10025849,메이어트 아비스,감독,유혹,19820056
44499,20146829,사토 오사무,감독,유혹,19820056
44500,10003692,김기,감독,유혹,19820056
44501,10013526,딕 로리,감독,유혹,19820056
44502,10059784,장 보딘,감독,유혹,19820056
44503,10009260,다니엘 그로우,감독,유혹,19820056
44504,10031373,변장호,감독,유혹,19820056
44505,10054296,윤삼육,감독,유혹,19820056
44520,20187945,이현주,감독,바캉스,20133569
44521,20110765,박선욱,감독,바캉스,20133569
44522,10059850,장 지로,감독,바캉스,20133569
44523,20166832,황재영,감독,바캉스,20133569
44524,20112056,백주은,감독,바캉스,20133569
44539,20114594,손원경,감독,사물의 비밀,20119890
44540,20113871,고석진,감독,사물의 비밀,20119890
44541,20112386,이영미,감독,사물의 비밀,20119890
44565,10057258,이정권,감독,갱경떡삥이,20204388
44566,10070464,진명,감독,갱경떡삥이,20204388
44567,10004116,김문옥,감독,갱경떡삥이,20204388
44568,10054323,윤석훈,감독,갱경떡삥이,20204388
44573,10028610,박문칠,감독,보드랍게,20200292
44574,20330438,장은우,감독,보드랍게,20200292
44575,20258930,이재임,감독,보드랍게,20200292
44695,10066934,조정래,감독,에움길,20184961
44704,10052663,월트 벡커,감독,클리포드 더 빅 레드 독,20211241
44715,10003940,김동령,감독,임신한 나무와 도깨비,20190665
44716,20218857,정태회,감독,임신한 나무와 도깨비,20190665
44717,20218855,류형석,감독,임신한 나무와 도깨비,20190665
44718,10028435,박경태,감독,임신한 나무와 도깨비,20190665
44719,20275809,안현준,감독,임신한 나무와 도깨비,20190665
44749,20186382,윤단비,감독,아워 미드나잇,20209184
44750,20292396,김덕중,감독,아워 미드나잇,20209184
44751,20228046,오정석,감독,아워 미드나잇,20209184
44752,20224635,권민표,감독,아워 미드나잇,20209184
44753,20210886,김종재,감독,아워 미드나잇,20209184
44754,20359632,서한솔,감독,아워 미드나잇,20209184
44755,20250056,임정은,감독,아워 미드나잇,20209184
44756,20324739,김민재,감독,아워 미드나잇,20209184
44757,20218645,박근영,감독,아워 미드나잇,20209184
44758,10028506,박기용,감독,아워 미드나잇,20209184
44759,20235066,정지영,감독,아워 미드나잇,20209184
44760,20272892,김솔,감독,아워 미드나잇,20209184
44761,20258723,김아름,감독,아워 미드나잇,20209184
44762,20258369,전미연,감독,아워 미드나잇,20209184
44766,10090165,황승재,감독,구직자들,20205258
44785,20257015,박현용,감독,멀리가지마라,20181172
44795,20331872,오한울,감독,도시락,20080042
44796,20137838,조지훈,감독,도시락,20080042
44797,10027834,민용근,감독,도시락,20080042
44798,10055307,이마오카 신지,감독,도시락,20080042
44799,10049733,여명준,감독,도시락,20080042
44802,20187502,김형남,감독,밥정,20199815
44803,20324292,박혜령,감독,밥정,20199815
44812,20151358,김태훈,감독,"결혼은, 미친짓이다",20020122
44813,10086324,필감성,감독,"결혼은, 미친짓이다",20020122
44814,20111250,유하,감독,"결혼은, 미친짓이다",20020122
44844,20306770,김현도,감독,라임크라임,20209182
44845,20239606,김동식,감독,라임크라임,20209182
44846,20120955,김지혜,감독,라임크라임,20209182
44847,20157907,유재욱,감독,라임크라임,20209182
44848,20359612,이승환,감독,라임크라임,20209182
44849,20324813,정재욱,감독,라임크라임,20209182
44850,20188895,조한솔,감독,라임크라임,20209182
44851,20176201,이하연,감독,라임크라임,20209182
44852,20173568,조남현,감독,라임크라임,20209182
44860,20302850,남아름,감독,너에게 가는 길,20217102
44861,20129592,김정근,감독,너에게 가는 길,20217102
44862,20218855,류형석,감독,너에게 가는 길,20217102
44863,10087658,한영희,감독,너에게 가는 길,20217102
44864,20121205,넝쿨,감독,너에게 가는 길,20217102
