num,movie,sentence,score
141,늑대사냥,이런걸 영화라고 만들었냐  유투브용으로나 올릴 수준,2
142,공조2: 인터내셔날,"공조 시리즈는 계속되어야 한다. 3, 4, 5 까지 쭈우욱~~",10
143,늑대사냥,남자 마녀! 저는 2편 기대해요.,10
144,20세기 소녀,정확히 어떤 감정인지 모르겠지만눈물이났다 그나저나 나도 나이를 많이 먹었구나..-80년대생-,10
145,캐릭터,배우들 연기력도 좋고 긴장감도 좋네요,8
146,더 파더,"그 누구도 믿지 못하게 되는 공포, 시공간이 뒤틀리는 경험의 공포, 자신의 기억과 보여지는 현상 사이의 괴리에서 느껴지는 공포, 결국 더이상 무슨 일이 벌어지고 있는지 모르겠다는 눈물의 고백을 내뱉을 수밖에 없는 극한의 공포를 다룬 영화.",9
147,센티그레이드,아..갑갑해...내가 숨이 막힌다,4
148,롤러코스터,킬링타임용 b급감성 돋네요ㅋ,10
149,리멤버,친일 부역세력과 반성하지 않는 그 후손들은 이거 보고 최소한의 양심과 마음의 빚을 안고 살어라. 너희들이 바로 토착왜구다!,10
150,토니 에드만,분명 사랑하지만 이해할 수 없는 부녀관계.,8
151,컴백홈,영화를 보면서 잼있는 부분을 못 찾았고내용도 별로 없고. 웃기던지 울리던지 해야하는데 코미디영화는 아닌것 같습니다.그냥 웃음포인트가 없네요,4
152,씽2게더,최고의 에니메이션이다. 요세 망해가는 디즈니 에니보다 훨씬 잼있음!! 다만 스토리적인 완성도만 보면 1편보단 많이 아쉽다. 하지만 2편은 대놓고 화려하게 잘만든 즐겁고 엄청난 쇼!! 즐기자!!!,9
153,카사블랑카,당신의 눈동자에 건배영원한 클래식 무비,8
154,자백,원작을 보지 않은 입장에서는 영화 재밌게 잘 봤습니다. 갠적으로 연기 톤은 어색하고 뭔가 옛날 영화 보는 느낌쓰 그래도 2시간 동안 집중해서 보느라 시간 순살쓰 ,7
155,불도저에 탄 소녀,김혜윤 배우님의 연기 인상적이었습니다.,8
156,스파이더맨: 노 웨이 홈 '펀버전',그냥 대작 일단4DX로 봤다 10월 5일에 최초로보니깐 4DX 포스터도 좋네 마블아 일 열심히 하자 ,10
157,인생은 아름다워,"별다른 기대없이 봤는데,   나이대가 비슷해서 그런가.   노래도  넘 좋았고 울다가 웃다가 또 울다가 웃다가 마지막에는 펑펑 울었네요~ ",10
158,리멤버,"언제까지 반일노음 과거에 미처 일본을 저수하고 지랄염병 할것인가?이런 논리라면 남침전쟁을 일으킨 김일성 일가에 대해서 우리는 왜 침묵하고 심지어 북한 빨갱이 집단을 응호하는 집단까지 있는가 말이다.이제 과거에 미처사는 개돼지 국민은 되지말자.아무리 영화라고 하지만과거팔이 하지맙시다.일본에 침략을 막지못한 무능한 권력욕에 미처 국민을 버리고 자신들에 배떄지만 배부리 살겟다고 나라를 망친 원흉 고종과 민비를 저주하고 원망해야한다.한 나라에 지도자 임금이 무능하면 나라는 국민은 모두가 노예가 나라없는 백성으로 산다는것 우리는 역사를 통해서 배웟다,당신들은 저 좃같은 조선시대에 살고싶은가?같은말을 쓰는 인간을 종으로 부리고 자유.인격.인간에 존엄마저 정승집 개 만도 못한 취급을 받고 살았던 그 좃선시대 정녕 부럽다 말인가 말이다.",2
159,비상선언,군더더기만 걷어낸다면 수작임.신파와 정치풍자에 너무 욕심부린느낌 ,8
160,리멤버,두배우 케미가 좋아요 몰입감있고 재밌게 봤습니다,10
161,리멤버,다시 또 보고 싶은 영화입니다.이성민 배우의 연기력은 정말 놀랍습니다.마지막 반전과 애절함에 지금도 눈물이납니다.,10
162,수프와 이데올로기,한국의 아픈 근현대사가 한 가족의 뼈와 살에 새겨진 듯하네요. 국가간 특정 세력 간 다른 이념으로 인해 국민들은 왜 시련과 아픔을 지고 살아야만 하는지 인간에 대한 회의감과 반성을 하게 만드네요. 오늘 저녁은 삼계탕 직접 만들어 먹어보려고요^^♡,10
163,늑대사냥,쓰레기도 이런 쓰레기가 없음 판타지 영화냐 ㅎㅎㅎ 와 총 싸움 부터 시작해서 이런 감독은 영원히 매장시켜야한다 ㅎㅎ,1
164,늑대사냥,서인국 연기 잘함. 그게 끝임. 보지마세요 그냥; 작가가 잘 쓰다가 중간에 짜증나는 일 있어서 장난친거같음,1
165,자백,흠..제목이 강력 스포..중간에 좀 졸았어요ㅠㅠ원작이랑 비슷하면서도 전혀 못따라가는..아쉬움,4
166,윤희에게,"엄마도 한때는 여고생이었고, 조금 다른 취향을 가질 수도 있는 한 인격체임을.",8
167,20세기 소녀,김유정 좋아해서 봤네요이제 80년대생들이 과거를 회상하는 영화가많이 나오네요ㅋ70년대생인 저도 너무 저시절이 그립습니다 ㅋㅋ,10
168,자백,원작인 인비저블 기스트의 스토리가 너무 탄탄했기에 한치의 의심없이 자백 관람하였습니다. 반전에 반전에 반전!!! 리메이크 넘 잘 했네요^^ 내용을 알고 봄에도 넘넘넘 몰입감있게 봤어요^^ 완전  쫄깃했어요♡ ,10
169,인생은 아름다워,오랜만에 감동을  받아서영화보는내내 울어버렸어요예전에는 그냥 흘러듣던 가사인데영상과 어울리면어 묘한 감동을 주네요주위에 꼭 추천드릴거예요~~천만 가즈아~~,10
170,인생은 아름다워,오랜만에 감동을  받아서영화보는내내 울어버렸어요예전에는 그냥 흘러듣던 가사인데영상과 어울리면어 묘한 감동을 주네요주위에 꼭 추천드릴거예요~~천만 가즈아~~,10
171,인생은 아름다워,신랑이랑 봤는데 너무좋았어요,10
172,블랙 아담,4dx로 봤는데 액션씬이 많아서 더 실감나게 재밌게 봤어요~!,9
173,리멤버,배우들의 열연을 어거지 신파로 바꿔버린 감독의 절망적인 연출력..,5
174,리멤버,다소 아쉬운 부분이 있었지만 이 영화가 흥행하여 이슈화 되길 바랍니다.,8
175,리멤버,"소재의 진부함, 다소 어색한 전개, 국뽕, 지루한 설명..그럼에도 볼만할 가치가 있다. 친일,위안부,강제점령..뭐하나 제대로 청산된게 있는가? 현실은 그대로지만 영화로라마 복수로 청산하며 대리만족과 통쾌함을 느끼면 그게 어디겠는가..배우들의 캐릭터 소화력도 좋았고 재미있었다. 리멤버..기억해야겠다..",9
176,귀못,진짜 보지 마세요 .. 지금까지 봤던 영화들 중에 왜 봤는지 후회하게 만드는 영화였습니다 내용이 풍부하지도 않고 소리만 너무 크고 귀아프고 ..,2
177,국제시장,다좋은데  저둘째 조금 사가지없어보임,10
178,블랙 아담,많이 먹어 본 익숙한 맛,7
179,4DX 문유,색다른 시도,7
180,멀티플리시티,"221029[9]옛날에 봤던 영화인데, 어두운 소재가 대 부분인 복제인간 스토리를 코믹하게 잘 그려내서 인상적었죠. 엔딩도 만족스럽고.",9
