,movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companys
3280,19890174,장미의 이름,The Name Of The Rose,1986.0,19890603.0,장편,개봉,"프랑스,이탈리아,독일","드라마,미스터리,스릴러,범죄",프랑스,드라마,장 자끄 아노 ,프랑스3시네마
3281,20080975,원스 어폰 어 타임 인 아메리카,Once Upon A Time In America,1984.0,19841210.0,장편,개봉,"미국,이탈리아",액션,미국,액션,세르지오 레오네,워너 브러더스 픽쳐스
3282,20129089,한경직,Han Gyungjik,2012.0,20120913.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,천정훈,주식회사 마운틴픽쳐스
3283,20123201,노리개,Norigae,2012.0,20130418.0,장편,개봉,한국,드라마,한국,드라마,최승호,주식회사 마운틴픽쳐스
3284,20130681,노라노,Nora Noh,2013.0,20131031.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,김성희,성소수문화환경을 위한 모임 '연분홍치마'
3285,20113636,네버엔딩 스토리,Never Ending Story,2011.0,20120118.0,장편,개봉,한국,"코미디,멜로/로맨스",한국,코미디,정용주,아일랜드픽처스(주)
3286,20138162,네버다이 버터플라이,Neverdie Butterfly,2013.0,20131017.0,장편,개봉,한국,드라마,한국,드라마,장현상,피도 안마른 녀석들
3287,20125228,낭만파 남편의 편지,Love in 42.9,2012.0,20130912.0,장편,개봉,한국,"드라마,가족,판타지",한국,드라마,최낙권,(주)리얼곤시네마또
3288,20121864,나인뮤지스; 그녀들의 서바이벌,9 Muses of Star Empire,2011.0,20140925.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,이학준,(주)민치앤필름
3289,20134606,윤희,Yoon hee,2013.0,20140109.0,장편,개봉,한국,드라마,한국,드라마,윤여창,굿픽처스
3290,20149265,기술자들,The Con Artists,2014.0,20141224.0,장편,개봉,한국,"범죄,액션",한국,범죄,김홍선,(주)트리니티엔터테인먼트
3291,20112457,굿바이 홈런,Goodbye Homerun,2011.0,20130214.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,이정호,소울다큐
3292,20130561,관능의 법칙,Venus Talk,2013.0,20140213.0,장편,개봉,한국,"드라마,코미디",한국,드라마,권칠인,(주)명필름
3293,20124063,공모자들,Traffickers,2012.0,20120829.0,장편,개봉,한국,"범죄,스릴러",한국,범죄,김홍선,(주)영화사채움
3294,20130244,고스톱 살인,"Go, Stop, Murder",2012.0,20140320.0,장편,개봉,한국,"판타지,드라마",한국,판타지,김준권,영화사 연
3295,20111461,고래를 찾는 자전거,Miracle,2010.0,20110922.0,장편,개봉,한국,드라마,한국,드라마,김영로,달이엔티(ENT)
3296,20110912,겨울나비,Winter Butterfly,2011.0,20110707.0,장편,개봉,한국,드라마,한국,드라마,김규민,스타라이트 픽쳐스
