,movieCd,movieNm,url
84,20060280,잔혹한 출근,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111223_26%2F1324567509693afAh0_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
85,20060025,손님은 왕이다,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_125%2F1324487241050orO5O_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
86,20050086,사과,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_162%2F1324526534432ACWnR_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
87,20040515,인어 공주,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20170418_98%2F1492495549376jQsy2_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
88,20030015,쇼쇼쇼(Show Show Show),
89,20030014,국화꽃 향기,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111223_22%2F1324576509301YLaTH_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
90,20020242,보스 상륙 작전(Boss X File),
91,20020303,좋은사람있으면 소개시켜줘,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_80%2F1324558833884KOv9s_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
92,20020197,서프라이즈,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_163%2F1324501057639EwiWG_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
93,20020054,일단뛰어,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_237%2F1324545903417O7m5d_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
94,20090684,어떤 방문,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111223_65%2F1324595030418KJINL_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
95,20209654,헤어질 결심,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20220607_129%2F16545872892918GA4h_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
96,20211549,로그 인 벨지움,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20211126_228%2F1637893952425bhnVH_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
97,20199816,담보,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20200929_240%2F1601370752754trKxu_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
98,20195002,블랙머니,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20191113_203%2F1573610067050zNCj1_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
99,20183407,버티고,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20220418_14%2F1650265465171GPXM2_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
100,20090862,여배우들,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111223_135%2F1324597431863PBgaO_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
101,20219628,정직한 후보2,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20220928_85%2F1664332929020nYWPc_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
102,20208446,외계+인 1부,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20220708_75%2F16572722362230AyHS_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
103,20178501,니 부모 얼굴이 보고 싶다,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20220429_150%2F1651196758429nQ4v4_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
104,20204845,공기살인,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20220422_31%2F1650605733502pD8Hx_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
105,20204117,모가디슈,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20210820_122%2F1629448997924YXUCv_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
106,20201815,간호중,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20211124_295%2F1637731237327qXnoX_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
107,20217218,아이들은 즐겁다,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20210414_16%2F1618390578607BCgD2_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
108,20197434,자산어보,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20210331_104%2F1617166166627wzUHH_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2
