,movieCd,showTime
631,20196201,118.0
632,20178203,118.0
633,20190969,109.0
634,20209947,91.0
635,20202921,97.0
636,20181416,122.0
637,20189326,105.0
638,20217624,119.0
639,20184082,107.0
640,20177537,119.0
641,20167902,121.0
642,20150979,126.0
643,20159644,120.0
644,20143513,125.0
645,20147947,111.0
646,19900202,110.0
647,20147930,111.0
648,20139881,121.0
649,20128690,112.0
650,20125990,121.0
651,20126089,107.0
652,20124063,111.0
653,20125916,86.0
654,20124065,110.0
655,20116038,96.0
656,20101195,95.0
657,20119341,132.0
658,20119337,118.0
659,20101223,111.0
660,20090939,107.0
661,20090146,145.0
662,20090297,117.0
663,20081003,133.0
664,20081611,108.0
665,20081391,100.0
666,20072056,95.0
667,20070091,111.0
668,20060291,120.0
669,20060151,119.0
670,20050355,139.0
671,20050148,112.0
672,19770028,76.0
673,20182447,97.0
674,20174169,111.0
675,20167901,113.0
676,20175484,128.0
677,20148627,86.0
678,20100141,88.0
679,20090331,104.0
680,20072686,121.0
681,20060341,114.0
682,20144444,144.0
683,19940030,97.0
684,20224302,105.0
685,20205521,76.0
686,19810065,97.0
687,20061225,93.0
688,20050153,53.0
689,20174601,99.0
690,20183813,110.0
691,20199448,114.0
692,20164424,114.0
693,20226585,97.0
694,20210388,85.0
695,20216241,65.0
696,20205001,77.0
697,20192751,95.0
698,20188117,95.0
699,20180401,66.0
700,20223620,92.0
701,20156188,92.0
702,20198663,99.0
703,19710120,86.0
704,20181570,99.0
705,20157503,73.0
706,20172626,75.0
707,20190815,109.0
708,20060137,141.0
709,20209627,112.0
710,20158799,121.0
711,20159645,120.0
712,20123161,127.0
713,20124054,124.0
714,19770088,230.0
715,20124067,121.0
716,20071060,99.0
717,20070203,100.0
718,20060279,97.0
719,20136863,111.0
720,20182585,130.0
721,20178941,109.0
722,20164844,119.0
723,20131262,123.0
724,20136052,97.0
725,20090022,102.0
726,20020103,103.0
727,19970058,98.0
728,20147129,114.0
729,20110312,93.0
730,20110906,111.0
731,20216673,93.0
732,20182352,110.0
733,20139201,117.0
734,20122783,118.0
735,20100979,112.0
736,20090557,100.0
737,20060370,102.0
738,20050350,110.0
739,20050256,108.0
740,20040673,117.0
741,20030091,100.0
742,19990066,99.0
743,19980003,108.0
744,19970020,90.0
745,19970037,113.0
746,19960055,109.0
747,19940033,115.0
748,20010038,113.0
749,20188941,109.0
750,20178161,116.0
751,20126674,125.0
752,20110249,114.0
753,20110301,122.0
754,20070115,141.0
755,20070072,120.0
756,20050046,114.0
757,20040483,116.0
758,20030046,127.0
759,20020106,121.0
760,20000044,110.0
761,20000030,112.0
762,19980030,103.0
763,19970022,104.0
764,19970048,114.0
765,19960051,114.0
766,20181086,121.0
767,20165450,140.0
768,20152064,69.0
769,20134589,113.0
770,20133641,145.0
771,20138221,98.0
772,20120426,112.0
773,20124066,129.0
774,20112911,128.0
775,20110302,122.0
776,20101343,114.0
777,20090389,114.0
778,20070104,112.0
779,20050283,114.0
780,20050110,121.0
781,20020048,125.0
782,19970049,104.0
783,20100326,84.0
784,20223415,137.0
785,20160041,140.0
786,20156250,110.0
787,20148851,139.0
788,20134590,112.0
789,20124034,135.0
790,20100188,106.0
791,19600018,111.0
792,20080743,103.0
793,20050326,125.0
794,20030133,110.0
795,20020139,109.0
796,20010011,104.0
797,20000056,117.0
798,20000005,91.0
799,20000015,108.0
800,19990073,100.0
801,20090093,108.0
802,19970036,95.0
803,19970047,107.0
804,19800051,100.0
805,19960038,104.0
806,19940005,113.0
807,20217334,117.0
808,20217769,101.0
809,20224494,100.0
810,20224476,107.0
811,20189802,92.0
812,20196906,98.0
813,19900210,108.0
814,20100119,100.0
815,19890075,87.0
816,20090890,113.0
817,20090035,130.0
818,20020276,110.0
819,20090123,90.0
820,20225956,72.0
821,20196673,98.0
822,19730008,125.0
823,20060200,126.0
824,20070383,110.0
825,20210590,101.0
826,20119982,83.0
827,20180825,95.0
