,movieCd,auditNo,watchGradeNm,watchCd
3694,20175047,2017-MF01514,전체관람가,all
3695,20090664,2009-F323,12세이상관람가,12
3696,20175208,2017-MF01806,12세이상관람가,12
3697,20172404,2017-MF01667,전체관람가,all
3698,19900065,90-331 ,고등학생이상관람가,15
3699,19880016,87-215,미성년자관람불가,19
3700,20101133,2010-F468,12세이상관람가,12
3701,19820085,6079,연소자관람불가,19
3702,20171923,2017-MF01497,15세이상관람가,15
3703,20179187,2017-MF01285,15세이상관람가,15
3704,20171817,2017-MF01583,전체관람가,all
3705,19940022,94-317 ,연소자관람불가,19
3706,20070619,2007-F424,15세이상관람가,15
3707,20170723,2017-MF00966,청소년관람불가,19
3708,20070489,2007-F279,청소년관람불가,19
3709,20155483,2017-MF01144,12세이상관람가,12
3710,20020061,2002-F051,전체관람가,all
3711,20100101,2010-F48,청소년관람불가,19
3712,20070585,2007-F434,전체관람가,all
3713,20060082,2006-FV53,18세관람가,19
3714,19980044,99-F006,18세관람가,19
3715,19990120,K97-41,18세 미만인 자는 관람할 수 없는 등급,19
3716,19780085,,청소년관람불가,19
3717,20131245,2013-MF00575 ,전체관람가,all
3718,20060053,2006-F085,12세관람가,12
3719,20010030,2001-F193,18세관람가,19
3720,19900007,90-102,고등학생이상관람가,15
3721,19800071,5909,연소자관람가,all
3722,19790037,,국민학생관람불가,12
3723,19780037,,12세이상관람가,12
3724,19780022,,12세이상관람가,12
3725,19780019,,12세이상관람가,12
3726,19780003,,12세이상관람가,12
3727,19770068,,12세이상관람가,12
3728,19770050,,12세이상관람가,12
3729,19770033,,12세이상관람가,12
3730,20070481,,,all
3731,19770003,,12세이상관람가,12
3732,20081029,,전체관람가,all
3733,19740005,,전체관람가,all
3734,19720092,,12세이상관람가,12
3735,19710113,,12세이상관람가,12
3736,19710106,,12세이상관람가,12
3737,19710103,,12세이상관람가,12
3738,19710180,,12세이상관람가,12
3739,19710001,,전체관람가,all
3740,19710073,,12세이상관람가,12
3741,19700035,,12세이상관람가,12
3742,20081067,,전체관람가,all
3743,20081069,,12세이상관람가,12
3744,19860012,85-29,연소자관람불가,19
3745,19850058,85-4,연소자관람불가,19
3746,19720099,,12세이상관람가,12
3747,19580054,,,all
3748,19570046,,,all
3749,19990224,99-F036,12세관람가,12
3750,19980234,K98-204,12세 미만인 자는 관람할 수 없는 등급,12
3751,19920063,92-112,고등학생이상관람가,15
3752,19910068,91-353,고등학생이상관람가,15
3753,20070304,2007-F277,제한상영가,19
3754,19960279,96-307,고등학생이상관람가,15
3755,20060164,2006-F184,15세관람가,15
3756,20060239,2006-F257,12세관람가,12
3757,20060006,2006-FDVD2,15세관람가,15
3758,20040604,2004-F169,18세관람가,19
3759,19910100,91-236,연소자관람가,all
3760,20164041,2017-MF00528,전체관람가,all
3761,19920145,92-62,고등학생이상관람가,15
3762,19870090,86-196,연소자관람가,all
3763,19830140,83-24,국민학생관람불가,12
3764,20138712,2013-MF00298 ,청소년관람불가,19
3765,20090678,2009-F295,청소년관람불가,19
3766,19800059,,연소자관람불가,19
3767,19990254,99-F022,18세관람가,19
3768,19780006,,12세이상관람가,12
3769,19730103,,청소년관람불가,19
3770,20100764,2010-F304 ,15세이상관람가,15
3771,20100977,2010-F391,12세이상관람가,12
3772,20050068,2005-F069,18세관람가,19
3773,20000219,2000-F144,15세관람가,15
3774,19960130,96-51,연소자관람불가,19
3775,19930168,93-195,연소자관람가,all
3776,20101377,2010-F510,전체관람가,all
3777,20050107,2005-F125,전체관람가,all
3778,20161701,2016-MF02003,15세이상관람가,15
3779,20142690,2014-MF01238 ,전체관람가,all
3780,19970039,97-128,연소자관람불가,19
3781,20100203,2010-F143,전체관람가,all
3782,20090865,2010-F8,15세이상관람가,15
3783,20070024,2006-F296,15세관람가,15
3784,20050010,2005-F020,15세관람가,15
3785,19860008,6355,연소자관람불가,19
3786,19860005,86-13,연소자관람불가,19
3787,19850064,85-1,연소자관람불가,19
3788,19840052,6264,연소자관람가,all
3789,19840033,6238,연소자관람가,all
3790,19830027,6130,연소자관람불가,19
3791,19820066,6088,연소자관람불가,19
3792,19810019,6004,연소자관람불가,19
3793,19810012,5984,국민학생관람불가,12
3794,19790026,,미성년자관람가,all
3795,19780059,,12세이상관람가,12
3796,19780049,,12세이상관람가,12
3797,19760092,,12세이상관람가,12
3798,19720013,,전체관람가,all
3799,20154428,2016-MF01731,12세이상관람가,12
3800,20156498,2015-MF01041 ,12세이상관람가,12
3801,20142706,2016-MF01678,전체관람가,all
3802,20100142,2010-F89,청소년관람불가,19
3803,20040636,2004-F248,18세관람가,19
3804,20161806,2016-MF01735,청소년관람불가,19
3805,20040656,2004-F229,12세관람가,12
3806,20158359,2016-MF01319,전체관람가,all
3807,19990164,99-077,모든 관람객이 관람할 수 있는 등급,all
3808,19930146,93-147,연소자관람불가,19
3809,19960010,96-401 ,연소자관람불가,19
3810,20151944,2016-MF01945,15세이상관람가,15
3811,20142401,2015-MF01653 ,청소년관람불가,19
3812,19970017,97-280,연소자관람불가,19
3813,19960063,96-12 ,고등학생이상관람가,15
3814,19920064,92-114,연소자관람불가,19
3815,19960021,96-342 ,연소자관람불가,19
3816,19900042,90-154,고등학생이상관람가,15
3817,20135401,2014-MF00110 ,12세이상관람가,12
3818,20070142,2007-F094,15세이상관람가,15
3819,20191424,2019-MF02252,청소년관람불가,19
3820,20158161,2015-MF01679 ,전체관람가,all
3821,20137081,2013-MF00288 ,12세이상관람가,12
3822,19960025,96-233,연소자관람불가,19
3823,19920012,92-444,연소자관람불가,19
3824,19920045,92-332,연소자관람불가,19
3825,19910005,91-145,고등학생이상관람가,15
3826,19910065,91-343,고등학생이상관람가,15
3827,20090137,89-364,연소자관람불가,19
3828,20010043,2001-F046,12세관람가,12
3829,20152402,2016-MF00399 ,12세이상관람가,12
3830,20000105,2000-F055,18세관람가,19
3831,19990292,99-F155,18세관람가,19
3832,19990121,99-013,18세 미만인 자는 관람할 수 없는 등급,19
3833,19528012,,,all
3834,19990319,99-F205,12세관람가,12
3835,20142798,2014-MF01126 ,전체관람가,all
3836,20217825,2021-MF01036,12세이상관람가,12
3837,20186981,2018-MF01050,청소년관람불가,19
3838,20040779,2004-F378,전체관람가,all
3839,20101275,2010-F509,15세이상관람가,15
3840,20090528,2009-F321,12세이상관람가,12
3841,20100111,2010-F75,15세이상관람가,15
3842,20040721,2004-F337,12세관람가,12
3843,20108129,,15세이상관람가,15
3844,20050072,2005-F088,15세관람가,15
3845,20100271,2010-F202,전체관람가,all
3846,19920366,92-468,고등학생이상관람가,15
3847,20100816,2010-F341 ,청소년관람불가,19
3848,20100809,2010-F328 ,청소년관람불가,19
3849,20100103,2010-F54,15세이상관람가,15
3850,20090032,2009-F14,12세이상관람가,12
3851,20070303,2007-F243,15세이상관람가,15
3852,20050082,2005-F249,15세관람가,15
3853,20040655,2004-F269,15세관람가,15
3854,20040533,2004-F063,18세관람가,19
3855,20136800,2014-MF00003 ,전체관람가,all
3856,20100295,2010-F217,15세이상관람가,15
3857,20100018,2010-F94,12세이상관람가,12
3858,20100090,2010-F45,청소년관람불가,19
3859,20050112,2005-F132,12세관람가,12
3860,20050078,2005-F095,15세관람가,15
3861,20050095,2005-F104,18세관람가,19
3862,19990266,99-F094,12세관람가,12
3863,19990216,99-F019,전체관람가,all
3864,19990143,99-101,15세 미만인 자는 관람할 수 없는 등급 ,15
3865,19970070,96-395,고등학생이상관람가,15
3866,19960125,96-93,고등학생이상관람가,15
3867,19950246,95-225,고등학생이상관람가,15
3868,19950196,95-163,고등학생이상관람가,15
3869,19940116,94-46,고등학생이상관람가,15
3870,19900353,90-392,고등학생이상관람가,15
3871,19910014,91-134,고등학생이상관람가,15
3872,19850054,6357,국민학생관람불가,12
3873,19850041,6330,연소자관람가,all
3874,19819019,5972,국민학생관람불가,12
3875,20100124,2010-F96,15세이상관람가,15
3876,19940006,94-440,연소자관람불가,19
3877,20113458,,청소년관람불가,19
3878,20060207,2006-F222 ,15세관람가,15
3879,20000004,2000-F224,18세관람가,19
3880,20000033,2000-F272,12세관람가,12
3881,19910061,91-382,고등학생이상관람가,15
3882,19900103,90-223,고등학생이상관람가,15
3883,19900108,90-183,연소자관람불가,19
3884,19618001,,,all
3885,19990225,,청소년관람불가,19
3886,20144362,2014-MF01268 ,전체관람가,all
3887,20149839,2014-MF00670 ,청소년관람불가,19
3888,19850013,6329,연소자관람불가,19
3889,19840027,6249,연소자관람가,all
3890,19790061,,국민학생관람불가,12
3891,19780031,,12세이상관람가,12
3892,20165441,2016-MF00795 ,청소년관람불가,19
3893,19890025,89-4,연소자관람불가,19
3894,19820050,,연소자관람불가,19
3895,19810049,5997,국민학생관람불가,12
3896,19809046,5923,국민학생관람불가,12
3897,19800057,5919,연소자관람불가,19
3898,20090101,88-218,고등학생이상관람가,15
3899,19880072,88-287,고등학생이상관람가,15
3900,19880050,88-143,연소자관람불가,19
3901,19870085,87-211,연소자관람가,all
3902,19860068,86-130,연소자관람가,all
3903,19860055,86-146,연소자관람불가,19
3904,20081567,2008-F353,청소년관람불가,19
3905,19900006,90-96,중학생이상관람가,12
3906,19990251,99-F064,12세관람가,12
3907,19960221,96-244,연소자관람불가,19
3908,20160361,2016-MF01375,청소년관람불가,19
3909,20164541,2016-MF00762 ,청소년관람불가,19
3910,19930064,93-382,연소자관람불가,19
3911,20137550,2014-MF00162 ,청소년관람불가,19
3912,19790024,,청소년관람불가,19
3913,19910082,91-306,고등학생이상관람가,15
3914,19960030,96-297,연소자관람불가,19
3915,19900035,90-198,연소자관람가,all
3916,20090407,2009-F231,12세이상관람가,12
3917,19920002,92-514,연소자관람가,all
3918,19900107,90-176 ,연소자관람가,all
3919,19890002,88-345,연소자관람가,all
3920,20050102,2005-F097,15세관람가,15
3921,19960003,96-447,연소자관람불가,19
3922,20000169,k98-9,18세 미만인 자는 관람할 수 없는 등급,19
3923,19980210,K98-178,18세 미만인 자는 관람할 수 없는 등급,19
3924,19970181,97-48,연소자관람불가,19
3925,19940264,94-240,연소자관람가,all
3926,19920074,92-87 ,연소자관람불가,19
3927,19760024,,12세이상관람가,12
3928,20149962,2014-MF00813 ,전체관람가,all
3929,20100158,2010-F103,전체관람가,all
3930,19910041,91_4,연소자관람가,all
3931,19980018,K98-205,18세 미만인 자는 관람할 수 없는 등급,19
3932,19980017,K98-202,18세 미만인 자는 관람할 수 없는 등급,19
3933,20090195,2009-F102,전체관람가,all
3934,19860073,86-164,연소자관람불가,19
3935,19860038,86-17,연소자관람불가,19
3936,19860023,,연소자관람불가,19
3937,19800058,5905,국민학생관람불가,12
3938,19810005,5976,연소자관람불가,19
3939,20119990,2011-F145,전체관람가,all
3940,19960047,96-158,고등학생이상관람가,15
3941,19930005,93-241,연소자관람가,all
3942,20030070,2003-F055,전체관람가,all
3943,19740034,,12세이상관람가,12
